자치구명,임대료(만원),보증금(만원),당월_매출_금액
강남구,63.120796,40800.562,1677387400.0
강동구,26.242254,22531.207,693780100.0
강북구,29.435492,11777.974,575429060.0
강서구,26.261244,17564.889,761555140.0
관악구,32.505512,11280.52,520583840.0
광진구,34.626858,16698.842,535885150.0
구로구,26.631868,16137.013,1257884700.0
금천구,28.319263,12973.123,2458898200.0
노원구,25.52382,17807.715,1106403100.0
도봉구,23.200615,14943.152,413161820.0
동대문구,35.6009,16746.475,1496065900.0
동작구,32.661434,20727.48,638436160.0
마포구,42.78402,21177.465,929794050.0
서대문구,36.539227,20215.594,621061060.0
서초구,60.553642,42604.13,1460623700.0
성동구,53.051422,28629.035,703409540.0
성북구,31.133263,19004.22,421177100.0
송파구,40.53771,28941.82,1839028000.0
양천구,26.214233,27455.58,499146430.0
영등포구,30.822647,21034.066,1336727000.0
용산구,55.372402,28293.025,826639170.0
은평구,26.032236,17482.0,451751940.0
종로구,46.64341,19499.443,1565390700.0
중구,49.080696,21579.152,2287517200.0
중랑구,25.757643,14419.761,408462370.0
